"MONTH","YEAR","STATISTIC","AREA","DATA_VALUE","INDICATOR_NAME","INDICATOR_UNITS"
1,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",8.59842503055986,"bottomT","degC"
2,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",7.81622070576477,"bottomT","degC"
3,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",7.63804992518964,"bottomT","degC"
4,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",7.96581858225355,"bottomT","degC"
5,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",8.2229311227353,"bottomT","degC"
6,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",8.60421705924952,"bottomT","degC"
7,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",8.87261861708342,"bottomT","degC"
8,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",9.11517599020122,"bottomT","degC"
9,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",9.49614694000763,"bottomT","degC"
10,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",9.79025541111169,"bottomT","degC"
11,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",9.76778450508029,"bottomT","degC"
12,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",9.10102980114605,"bottomT","degC"
