"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","MAB",0.861550728621504,4,9,1997,"chlor_a","m-3"
"mean","MAB",0.98570984638423,1,10,1997,"chlor_a","m-3"
"mean","MAB",1.34990383956892,1,11,1997,"chlor_a","m-3"
"mean","MAB",1.37115331511928,1,12,1997,"chlor_a","m-3"
"mean","MAB",1.5419817843557,1,1,1998,"chlor_a","m-3"
"mean","MAB",1.37694686852127,1,2,1998,"chlor_a","m-3"
"mean","MAB",1.38270446408439,1,3,1998,"chlor_a","m-3"
"mean","MAB",1.24129876254156,1,4,1998,"chlor_a","m-3"
"mean","MAB",1.00730615307141,1,5,1998,"chlor_a","m-3"
"mean","MAB",0.829229634459926,1,6,1998,"chlor_a","m-3"
"mean","MAB",0.739784675849643,1,7,1998,"chlor_a","m-3"
"mean","MAB",0.542952566822504,1,8,1998,"chlor_a","m-3"
"mean","MAB",0.688891898212864,1,9,1998,"chlor_a","m-3"
"mean","MAB",1.04020500234922,1,10,1998,"chlor_a","m-3"
"mean","MAB",1.58498577104565,1,11,1998,"chlor_a","m-3"
"mean","MAB",1.59204014528252,1,12,1998,"chlor_a","m-3"
"mean","MAB",1.55516781905784,1,1,1999,"chlor_a","m-3"
"mean","MAB",1.35111967659637,1,2,1999,"chlor_a","m-3"
"mean","MAB",1.45245145524871,1,3,1999,"chlor_a","m-3"
"mean","MAB",1.07099894849114,1,4,1999,"chlor_a","m-3"
"mean","MAB",0.850574544682099,1,5,1999,"chlor_a","m-3"
"mean","MAB",0.664079854845436,1,6,1999,"chlor_a","m-3"
"mean","MAB",0.633039093232574,1,7,1999,"chlor_a","m-3"
"mean","MAB",0.650421127974181,1,8,1999,"chlor_a","m-3"
"mean","MAB",1.07693882611537,1,9,1999,"chlor_a","m-3"
"mean","MAB",1.20182626816232,1,10,1999,"chlor_a","m-3"
"mean","MAB",1.66209945380738,1,11,1999,"chlor_a","m-3"
"mean","MAB",1.47870662638277,1,12,1999,"chlor_a","m-3"
"mean","MAB",1.38536662492313,1,1,2000,"chlor_a","m-3"
"mean","MAB",1.16922245252173,1,2,2000,"chlor_a","m-3"
"mean","MAB",1.07025096551399,1,3,2000,"chlor_a","m-3"
"mean","MAB",1.31887393796133,1,4,2000,"chlor_a","m-3"
"mean","MAB",1.14257362752473,1,5,2000,"chlor_a","m-3"
"mean","MAB",1.03655692482462,1,6,2000,"chlor_a","m-3"
"mean","MAB",1.03181421794533,1,7,2000,"chlor_a","m-3"
"mean","MAB",0.973386480639819,1,8,2000,"chlor_a","m-3"
"mean","MAB",0.977961403506971,1,9,2000,"chlor_a","m-3"
"mean","MAB",1.14850529951927,1,10,2000,"chlor_a","m-3"
"mean","MAB",1.35551306664712,1,11,2000,"chlor_a","m-3"
"mean","MAB",1.78656101922111,1,12,2000,"chlor_a","m-3"
"mean","MAB",1.6252102664655,1,1,2001,"chlor_a","m-3"
"mean","MAB",1.56031604503357,1,2,2001,"chlor_a","m-3"
"mean","MAB",1.42194110708268,1,3,2001,"chlor_a","m-3"
"mean","MAB",1.36136867736307,1,4,2001,"chlor_a","m-3"
"mean","MAB",1.00501261423314,1,5,2001,"chlor_a","m-3"
"mean","MAB",1.1615324597261,1,6,2001,"chlor_a","m-3"
"mean","MAB",1.15696369282312,1,7,2001,"chlor_a","m-3"
"mean","MAB",1.01383148510314,1,8,2001,"chlor_a","m-3"
"mean","MAB",0.79043810206994,1,9,2001,"chlor_a","m-3"
"mean","MAB",1.21782243617732,1,10,2001,"chlor_a","m-3"
"mean","MAB",1.3601904043503,1,11,2001,"chlor_a","m-3"
"mean","MAB",1.59074708078345,1,12,2001,"chlor_a","m-3"
"mean","MAB",1.47933321640516,1,1,2002,"chlor_a","m-3"
"mean","MAB",1.29817426799923,1,2,2002,"chlor_a","m-3"
"mean","MAB",1.3219308025268,1,3,2002,"chlor_a","m-3"
"mean","MAB",1.11131537137805,1,4,2002,"chlor_a","m-3"
"mean","MAB",1.10960974369397,1,5,2002,"chlor_a","m-3"
"mean","MAB",1.06753130378253,1,6,2002,"chlor_a","m-3"
"mean","MAB",1.34014379819291,1,7,2002,"chlor_a","m-3"
"mean","MAB",1.20492530357058,1,8,2002,"chlor_a","m-3"
"mean","MAB",1.10476912526406,1,9,2002,"chlor_a","m-3"
"mean","MAB",1.24542322581283,1,10,2002,"chlor_a","m-3"
"mean","MAB",1.61481553420012,1,11,2002,"chlor_a","m-3"
"mean","MAB",1.3715057706783,1,12,2002,"chlor_a","m-3"
"mean","MAB",1.56259563634352,1,1,2003,"chlor_a","m-3"
"mean","MAB",1.22961098001085,1,2,2003,"chlor_a","m-3"
"mean","MAB",1.67311923708873,1,3,2003,"chlor_a","m-3"
"mean","MAB",1.64625180441513,1,4,2003,"chlor_a","m-3"
"mean","MAB",1.17518397183762,1,5,2003,"chlor_a","m-3"
"mean","MAB",1.01332362136262,1,6,2003,"chlor_a","m-3"
"mean","MAB",1.11025762830681,1,7,2003,"chlor_a","m-3"
"mean","MAB",1.25981480159428,1,8,2003,"chlor_a","m-3"
"mean","MAB",1.1778426278592,1,9,2003,"chlor_a","m-3"
"mean","MAB",1.22714009734949,1,10,2003,"chlor_a","m-3"
"mean","MAB",1.50592474864254,1,11,2003,"chlor_a","m-3"
